characteristic,sharpe,mean,std,n_months
PctAcc,0.17321883547172331,0.06403657721065428,0.36968599307497224,470.0
BM,0.16844671054202467,0.1293515630576399,0.7679079196109847,356.0
PriceDelaySlope,0.1621453797142547,0.05001565653134994,0.308461805199084,834.0
EarningsSurprise,0.16113926956350536,0.07670569833745036,0.47602113715192473,287.0
BetaLiquidityPS,0.1566272922771826,0.06392162551982095,0.40811294500768824,467.0
RIO_Volatility,0.15513850412055347,0.030670378089887637,0.197696750163677,178.0
RDIPO,0.15384615384615388,0.00034171451979972677,0.0022211443786982234,507.0
AbnormalAccruals,0.14942419807850565,0.07285444960216679,0.48756794775562345,408.0
DelNetFin,0.12948362570813857,0.044953140455597694,0.3471723950403113,479.0
Investment,0.12923629421307367,0.05900226787621247,0.45654564946697246,371.0
MomSeasonShort,0.11285429550106352,0.052994653698169095,0.4695847283692421,712.0
NOA,0.10331677671517624,0.02994779489001017,0.2898638134305164,464.0
DebtIssuance,0.0968229246192465,0.04263859631357066,0.4403770747604017,345.0
IndIPO,0.07109444871422106,0.017996980538834938,0.25314185374975684,724.0
MeanRankRevGrowth,0.06995900484939539,0.0326010469169128,0.46600215350539737,359.0
PriceDelayTstat,0.06979327766143449,0.01858103015968152,0.2662295106674549,834.0
cfp,0.0683985523335641,0.05484988347683703,0.8019158535599803,328.0
TotalAccruals,0.06585313550142298,0.024063500759428334,0.36541161747580503,480.0
GrSaleToGrInv,0.06544609943302719,0.02630113926956228,0.4018748175584851,437.0
VolSD,0.04168855506044576,0.013072966187536419,0.31358645480951414,830.0
AgeIPO,0.03933479657223395,0.01911431868131866,0.4859391771918115,91.0
MS,0.029838713229083758,0.005248554761904758,0.17589749000265192,84.0
ShareIss5Y,0.02977883002032179,0.010105878140077863,0.3393645127488678,631.0
IndMom,0.026775380136205888,0.012686788388105937,0.47382290460745907,722.0
ChNNCOA,0.024598998609975126,0.009314759131226685,0.3786641594202726,479.0
MomOffSeason11YrPlus,0.020760091761331017,0.005769914363044739,0.2779329893807177,550.0
IntMom,0.01956793931784057,0.008205679238526074,0.41934304400897005,709.0
